VM 2026 – konkurranse,,,,,,,
"Tippeark basert på EM 2024-oppsettet – tilpassa VM 2026 med 48 lag, 12 grupper og 104 kampar.",,,,,,,
,,,,,,,
"Gruppespel: 5p rett utfall (H/U/B), 25p rett teikn + rett resultat. Straffekonk tel ikkje.",,,,,,,
,,,,,,,
Dato,Gruppe,Heimelag,Bortelag,Stadion,Tips H,Tips B,Tips teikn
2026-06-11,Group A,Mexico,South Africa,Mexico City Stadium,2,0,H
2026-06-11,Group A,Korea Republic,Czechia,Estadio Guadalajara,2,1,H
2026-06-18,Group A,Czechia,South Africa,Atlanta Stadium,,,
2026-06-18,Group A,Mexico,Korea Republic,Estadio Guadalajara,,,
2026-06-24,Group A,Czechia,Mexico,Mexico City Stadium,,,
2026-06-24,Group A,South Africa,Korea Republic,Estadio Monterrey,,,
2026-06-12,Group B,Canada,Bosnia and Herzegovina,Toronto Stadium,1,1,U
2026-06-13,Group B,Qatar,Switzerland,San Francisco Bay Area Stadium,1,1,U
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,,,
2026-06-18,Group B,Canada,Qatar,BC Place Vancouver,,,
2026-06-24,Group B,Switzerland,Canada,BC Place Vancouver,,,
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,Seattle Stadium,,,
2026-06-13,Group C,Haiti,Scotland,Boston Stadium,0,1,B
2026-06-13,Group C,Brazil,Morocco,New York New Jersey Stadium,1,1,U
2026-06-19,Group C,Brazil,Haiti,Philadelphia Stadium,,,
2026-06-19,Group C,Scotland,Morocco,Boston Stadium,,,
2026-06-24,Group C,Scotland,Brazil,Miami Stadium,,,
2026-06-24,Group C,Morocco,Haiti,Atlanta Stadium,,,
2026-06-12,Group D,USA,Paraguay,Los Angeles Stadium,4,1,H
2026-06-13,Group D,Australia,Türkiye,BC Place Vancouver,2,0,H
2026-06-19,Group D,Türkiye,Paraguay,San Francisco Bay Area Stadium,,,
2026-06-19,Group D,USA,Australia,Seattle Stadium,,,
2026-06-25,Group D,Türkiye,USA,Los Angeles Stadium,,,
2026-06-25,Group D,Paraguay,Australia,San Francisco Bay Area Stadium,,,
2026-06-14,Group E,Côte d'Ivoire,Ecuador,Philadelphia Stadium,1,0,H
2026-06-14,Group E,Germany,Curaçao,Houston Stadium,7,1,H
2026-06-20,Group E,Germany,Côte d'Ivoire,Toronto Stadium,,,
2026-06-20,Group E,Ecuador,Curaçao,Kansas City Stadium,,,
2026-06-25,Group E,Curaçao,Côte d'Ivoire,Philadelphia Stadium,,,
2026-06-25,Group E,Ecuador,Germany,New York New Jersey Stadium,,,
2026-06-14,Group F,Netherlands,Japan,Dallas Stadium,2,2,U
2026-06-14,Group F,Sweden,Tunisia,Estadio Monterrey,5,1,H
2026-06-20,Group F,Netherlands,Sweden,Houston Stadium,,,
2026-06-20,Group F,Tunisia,Japan,Estadio Monterrey,,,
2026-06-25,Group F,Japan,Sweden,Dallas Stadium,,,
2026-06-25,Group F,Tunisia,Netherlands,Kansas City Stadium,,,
2026-06-15,Group G,IR Iran,New Zealand,Los Angeles Stadium,2,2,U
2026-06-15,Group G,Belgium,Egypt,Seattle Stadium,1,1,U
2026-06-21,Group G,Belgium,IR Iran,Los Angeles Stadium,,,
2026-06-21,Group G,New Zealand,Egypt,BC Place Vancouver,,,
2026-06-26,Group G,Egypt,IR Iran,Seattle Stadium,,,
2026-06-26,Group G,New Zealand,Belgium,BC Place Vancouver,,,
2026-06-15,Group H,Saudi Arabia,Uruguay,Miami Stadium,1,1,U
2026-06-15,Group H,Spain,Cabo Verde,Atlanta Stadium,0,0,U
2026-06-21,Group H,Uruguay,Cabo Verde,Miami Stadium,,,
2026-06-21,Group H,Spain,Saudi Arabia,Atlanta Stadium,,,
2026-06-26,Group H,Cabo Verde,Saudi Arabia,Houston Stadium,,,
2026-06-26,Group H,Uruguay,Spain,Estadio Guadalajara,,,
2026-06-16,Group I,France,Senegal,New York New Jersey Stadium,3,1,H
2026-06-16,Group I,Iraq,Norway,Boston Stadium,1,4,B
2026-06-22,Group I,Norway,Senegal,New York New Jersey Stadium,,,
2026-06-22,Group I,France,Iraq,Philadelphia Stadium,,,
2026-06-26,Group I,Norway,France,Boston Stadium,,,
2026-06-26,Group I,Senegal,Iraq,Toronto Stadium,,,
2026-06-16,Group J,Argentina,Algeria,Kansas City Stadium,3,0,H
2026-06-16,Group J,Austria,Jordan,San Francisco Bay Area Stadium,3,1,H
2026-06-22,Group J,Argentina,Austria,Dallas Stadium,,,
2026-06-22,Group J,Jordan,Algeria,San Francisco Bay Area Stadium,,,
2026-06-27,Group J,Algeria,Austria,Kansas City Stadium,,,
2026-06-27,Group J,Jordan,Argentina,Dallas Stadium,,,
2026-06-17,Group K,Portugal,Congo DR,Houston Stadium,1,1,U
2026-06-17,Group K,Uzbekistan,Colombia,Mexico City Stadium,1,3,B
2026-06-23,Group K,Portugal,Uzbekistan,Houston Stadium,,,
2026-06-23,Group K,Colombia,Congo DR,Estadio Guadalajara,,,
2026-06-27,Group K,Colombia,Portugal,Miami Stadium,,,
2026-06-27,Group K,Congo DR,Uzbekistan,Atlanta Stadium,,,
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,1,0,H
2026-06-17,Group L,England,Croatia,Dallas Stadium,4,2,H
2026-06-23,Group L,England,Ghana,Boston Stadium,,,
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,,,
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,,,
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,,,
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Fasit,Poengregel,,,,
TOPPSCORAR,,Lionel Messi,8p per mål. Straffekonk tel ikkje,,,,
Mestskorande lag,,Germany,5p per mål. Straffekonk tel ikkje,,,,
Mest innslupne mål / verste forsvar,,Curaçao,5p per mål. Straffekonk tel ikkje,,,,
Kva spelar får det første raude kortet i VM?,,Sphephelo Sithole,40p rett spelar,,,,
Kva lag får flest raude kort?,,South Africa,10p for kvart kort,,,,
,,,,,,,
Statistikk,,,,,,,
player_goals,Lionel Messi,3
player_goals,Folarin Balogun,2
player_goals,Kai Havertz,2
player_goals,Kylian Mbappé,2
player_goals,Erling Haaland,2
player_goals,Yasin Ayari,2
player_goals,Elijah Just,2
player_goals,Raul Jimenez,1
player_goals,Julian Quinones,1
player_goals,Hwang In-beom,1
player_goals,Oh Hyeon-gyu,1
player_goals,Ladislav Krejci,1
player_goals,Jovo Lukic,1
player_goals,Cyle Larin,1
player_goals,Gio Reyna,1
player_goals,Mauricio,1
player_goals,Breel Embolo,1
player_goals,Boualem Khoukhi,1
player_goals,Ismael Saibari,1
player_goals,Vinicius Junior,1
player_goals,John McGinn,1
player_goals,Nestory Irankunda,1
player_goals,Connor Metcalfe,1
player_goals,Felix Nmecha,1
player_goals,Nico Schlotterbeck,1
player_goals,Jamal Musiala,1
player_goals,Nathaniel Brown,1
player_goals,Deniz Undav,1
player_goals,Livano Comenencia,1
player_goals,Virgil van Dijk,1
player_goals,Crysencio Summerville,1
player_goals,Keito Nakamura,1
player_goals,Daichi Kamada,1
player_goals,Amad Diallo,1
player_goals,Alexander Isak,1
player_goals,Viktor Gyokeres,1
player_goals,Mattias Svanberg,1
player_goals,Omar Rekik,1
player_goals,Emam Ashour,1
player_goals,Abdulelah Alamri,1
player_goals,Maxi Araujo,1
player_goals,Mohammad Mohebi,1
player_goals,Ramin Rezaeian,1
player_goals,Bradley Barcola,1
player_goals,Leo Østigård,1
player_goals,Aymen Hussein,1
player_goals,Romano Schmid,1
player_goals,Marko Arnautović,1
player_goals,Ali Olwan,1
player_goals,Ibrahim Mbaye,1
player_goals,Harry Kane,2
player_goals,Jude Bellingham,1
player_goals,Marcus Rashford,1
player_goals,Martin Baturina,1
player_goals,Petar Musa,1
player_goals,João Neves,1
player_goals,Yoane Wissa,1
player_goals,Caleb Yirenkyi,1
player_goals,Daniel Muñoz,1
player_goals,Luis Díaz,1
player_goals,Jaminton Campaz,1
player_goals,Abbosbek Fayzullaev,1
team_goals_scored,Germany,7
team_goals_scored,Norway,4
team_goals_scored,France,3
team_goals_scored,Argentina,3
team_goals_scored,Austria,3
team_goals_scored,Sweden,5
team_goals_scored,USA,4
team_goals_scored,Mexico,2
team_goals_scored,Korea Republic,2
team_goals_scored,Australia,2
team_goals_scored,Netherlands,2
team_goals_scored,Japan,2
team_goals_scored,IR Iran,2
team_goals_scored,New Zealand,2
team_goals_scored,Canada,1
team_goals_scored,Bosnia and Herzegovina,1
team_goals_scored,Czechia,1
team_goals_scored,Paraguay,1
team_goals_scored,Qatar,1
team_goals_scored,Switzerland,1
team_goals_scored,Brazil,1
team_goals_scored,Morocco,1
team_goals_scored,Scotland,1
team_goals_scored,Curaçao,1
team_goals_scored,Côte d'Ivoire,1
team_goals_scored,Tunisia,1
team_goals_scored,Belgium,1
team_goals_scored,Egypt,1
team_goals_scored,Saudi Arabia,1
team_goals_scored,Uruguay,1
team_goals_scored,Senegal,1
team_goals_scored,Iraq,1
team_goals_scored,Jordan,1
team_goals_scored,England,4
team_goals_scored,Croatia,2
team_goals_scored,Colombia,3
team_goals_scored,Portugal,1
team_goals_scored,Congo DR,1
team_goals_scored,Ghana,1
team_goals_scored,Uzbekistan,1
team_goals_conceded,Curaçao,7
team_goals_conceded,Iraq,4
team_goals_conceded,Senegal,3
team_goals_conceded,Algeria,3
team_goals_conceded,Jordan,3
team_goals_conceded,Paraguay,4
team_goals_conceded,Tunisia,5
team_goals_conceded,South Africa,2
team_goals_conceded,Czechia,2
team_goals_conceded,Türkiye,2
team_goals_conceded,Netherlands,2
team_goals_conceded,Japan,2
team_goals_conceded,New Zealand,2
team_goals_conceded,IR Iran,2
team_goals_conceded,Haiti,1
team_goals_conceded,Mexico,1
team_goals_conceded,Korea Republic,1
team_goals_conceded,Canada,1
team_goals_conceded,Bosnia and Herzegovina,1
team_goals_conceded,Qatar,1
team_goals_conceded,Switzerland,1
team_goals_conceded,Brazil,1
team_goals_conceded,Morocco,1
team_goals_conceded,Scotland,1
team_goals_conceded,Australia,1
team_goals_conceded,Germany,1
team_goals_conceded,Ecuador,1
team_goals_conceded,Belgium,1
team_goals_conceded,Egypt,1
team_goals_conceded,Saudi Arabia,1
team_goals_conceded,Uruguay,1
team_goals_conceded,France,1
team_goals_conceded,Norway,1
team_goals_conceded,Austria,1
team_goals_conceded,England,2
team_goals_conceded,Croatia,4
team_goals_conceded,Portugal,1
team_goals_conceded,Congo DR,1
team_goals_conceded,Panama,1
team_goals_conceded,Colombia,1
team_goals_conceded,Uzbekistan,3
team_red_cards,South Africa,2
team_red_cards,Mexico,1
first_red_card,Sphephelo Sithole,
most_red_cards,South Africa,2
