VM 2026 – konkurranse,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Tippeark basert på EM 2024-oppsettet – tilpassa VM 2026 med 48 lag, 12 grupper og 104 kampar.",,,,,,,
,,,,,,,
"Gruppespel: 5p rett utfall (H/U/B), 25p rett teikn + rett resultat. Straffekonk tel ikkje.",,,,,,,
,,,,,,,
Dato,Gruppe,Heimelag,Bortelag,Stadion,Tips H,Tips B,Tips teikn
2026-06-11,Group A,Mexico,South Africa,Mexico City Stadium,1,0,H
2026-06-11,Group A,Korea Republic,Czechia,Estadio Guadalajara,1,1,U
2026-06-18,Group A,Czechia,South Africa,Atlanta Stadium,1,1,U
2026-06-18,Group A,Mexico,Korea Republic,Estadio Guadalajara,1,1,U
2026-06-24,Group A,Czechia,Mexico,Mexico City Stadium,1,1,U
2026-06-24,Group A,South Africa,Korea Republic,Estadio Monterrey,2,2,U
2026-06-12,Group B,Canada,Bosnia and Herzegovina,Toronto Stadium,1,1,U
2026-06-13,Group B,Qatar,Switzerland,San Francisco Bay Area Stadium,0,3,B
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,2,0,H
2026-06-18,Group B,Canada,Qatar,BC Place Vancouver,1,0,H
2026-06-24,Group B,Switzerland,Canada,BC Place Vancouver,1,0,H
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,Seattle Stadium,3,0,H
2026-06-13,Group C,Haiti,Scotland,Boston Stadium,0,3,B
2026-06-13,Group C,Brazil,Morocco,New York New Jersey Stadium,1,1,U
2026-06-19,Group C,Brazil,Haiti,Philadelphia Stadium,4,0,H
2026-06-19,Group C,Scotland,Morocco,Boston Stadium,0,2,B
2026-06-24,Group C,Scotland,Brazil,Miami Stadium,0,2,B
2026-06-24,Group C,Morocco,Haiti,Atlanta Stadium,2,0,H
2026-06-12,Group D,USA,Paraguay,Los Angeles Stadium,2,0,H
2026-06-13,Group D,Australia,Türkiye,BC Place Vancouver,1,1,U
2026-06-19,Group D,Türkiye,Paraguay,San Francisco Bay Area Stadium,0,1,B
2026-06-19,Group D,USA,Australia,Seattle Stadium,2,2,U
2026-06-25,Group D,Türkiye,USA,Los Angeles Stadium,1,0,H
2026-06-25,Group D,Paraguay,Australia,San Francisco Bay Area Stadium,1,0,H
2026-06-14,Group E,Côte d'Ivoire,Ecuador,Philadelphia Stadium,2,2,U
2026-06-14,Group E,Germany,Curaçao,Houston Stadium,5,0,H
2026-06-20,Group E,Germany,Côte d'Ivoire,Toronto Stadium,4,1,H
2026-06-20,Group E,Ecuador,Curaçao,Kansas City Stadium,2,0,H
2026-06-25,Group E,Curaçao,Côte d'Ivoire,Philadelphia Stadium,0,3,B
2026-06-25,Group E,Ecuador,Germany,New York New Jersey Stadium,0,2,B
2026-06-14,Group F,Netherlands,Japan,Dallas Stadium,2,1,H
2026-06-14,Group F,Sweden,Tunisia,Estadio Monterrey,1,1,U
2026-06-20,Group F,Netherlands,Sweden,Houston Stadium,2,0,H
2026-06-20,Group F,Tunisia,Japan,Estadio Monterrey,0,2,B
2026-06-25,Group F,Japan,Sweden,Dallas Stadium,1,1,U
2026-06-25,Group F,Tunisia,Netherlands,Kansas City Stadium,1,3,B
2026-06-15,Group G,IR Iran,New Zealand,Los Angeles Stadium,1,0,H
2026-06-15,Group G,Belgium,Egypt,Seattle Stadium,2,1,H
2026-06-21,Group G,Belgium,IR Iran,Los Angeles Stadium,2,0,H
2026-06-21,Group G,New Zealand,Egypt,BC Place Vancouver,0,3,B
2026-06-26,Group G,Egypt,IR Iran,Seattle Stadium,2,2,U
2026-06-26,Group G,New Zealand,Belgium,BC Place Vancouver,0,2,B
2026-06-15,Group H,Saudi Arabia,Uruguay,Miami Stadium,0,2,B
2026-06-15,Group H,Spain,Cabo Verde,Atlanta Stadium,5,0,H
2026-06-21,Group H,Uruguay,Cabo Verde,Miami Stadium,3,0,H
2026-06-21,Group H,Spain,Saudi Arabia,Atlanta Stadium,4,0,H
2026-06-26,Group H,Cabo Verde,Saudi Arabia,Houston Stadium,0,2,B
2026-06-26,Group H,Uruguay,Spain,Estadio Guadalajara,1,3,B
2026-06-16,Group I,France,Senegal,New York New Jersey Stadium,3,1,H
2026-06-16,Group I,Iraq,Norway,Boston Stadium,0,2,B
2026-06-22,Group I,Norway,Senegal,New York New Jersey Stadium,2,1,H
2026-06-22,Group I,France,Iraq,Philadelphia Stadium,4,0,H
2026-06-26,Group I,Norway,France,Boston Stadium,2,1,H
2026-06-26,Group I,Senegal,Iraq,Toronto Stadium,2,0,H
2026-06-16,Group J,Argentina,Algeria,Kansas City Stadium,2,1,H
2026-06-16,Group J,Austria,Jordan,San Francisco Bay Area Stadium,1,1,U
2026-06-22,Group J,Argentina,Austria,Dallas Stadium,2,0,H
2026-06-22,Group J,Jordan,Algeria,San Francisco Bay Area Stadium,0,3,B
2026-06-27,Group J,Algeria,Austria,Kansas City Stadium,4,0,H
2026-06-27,Group J,Jordan,Argentina,Dallas Stadium,0,7,B
2026-06-17,Group K,Portugal,Congo DR,Houston Stadium,3,0,H
2026-06-17,Group K,Uzbekistan,Colombia,Mexico City Stadium,1,7,B
2026-06-23,Group K,Portugal,Uzbekistan,Houston Stadium,8,0,H
2026-06-23,Group K,Colombia,Congo DR,Estadio Guadalajara,3,0,H
2026-06-27,Group K,Colombia,Portugal,Miami Stadium,1,2,B
2026-06-27,Group K,Congo DR,Uzbekistan,Atlanta Stadium,0,2,B
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,2,2,U
2026-06-17,Group L,England,Croatia,Dallas Stadium,1,1,U
2026-06-23,Group L,England,Ghana,Boston Stadium,3,0,H
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,2,2,U
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,2,3,B
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,1,0,H
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,South Africa,,,,,,
2,Korea Republic,,,,,,
3,Switzerland,,,,,,
4,Bosnia and Herzegovina,,,,,,
5,Brazil,,,,,,
6,Morocco,,,,,,
7,Paraguay,,,,,,
8,Türkiye,,,,,,
9,Côte d'Ivoire,,,,,,
10,Germany,,,,,,
11,Ecuador,,,,,,
12,Japan,,,,,,
13,Netherlands,,,,,,
14,Belgium,,,,,,
15,Egypt,,,,,,
16,Spain,,,,,,
17,Uruguay,,,,,,
18,France,,,,,,
19,Norway,,,,,,
20,Algeria,,,,,,
21,Argentina,,,,,,
22,Austria,,,,,,
23,Colombia,,,,,,
24,Portugal,,,,,,
25,England,,,,,,
26,Croatia,,,,,,
27,Panama,,,,,,
28,Senegal,,,,,,
29,IR Iran,,,,,,
30,Tunisia,,,,,,
31,Scotland,,,,,,
32,USA,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,Germany,,,,,,
2,Morocco,,,,,,
3,Belgium,,,,,,
4,Brazil,,,,,,
5,England,,,,,,
6,Spain,,,,,,
7,Norway,,,,,,
8,France,,,,,,
9,Japan,,,,,,
10,Germany,,,,,,
11,Netherlands,,,,,,
12,Switzerland,,,,,,
13,Egypt,,,,,,
14,Argentina,,,,,,
15,Algeria,,,,,,
16,Colombia,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,Germany,,,,,,
2,France,,,,,,
3,Spain,,,,,,
4,Morocco,,,,,,
5,England,,,,,,
6,Argentina,,,,,,
7,Netherlands,,,,,,
8,Portugal,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,Germany,,,,,,
2,Netherlands,,,,,,
3,Argentina,,,,,,
4,Portugal,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,Germany,,,,,,
2,Spain,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,Spain,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Fasit,Poengregel,,,,
TOPPSCORAR,Kane,,8p per mål. Straffekonk tel ikkje,,,,
Mestskorande lag,Germany,,5p per mål. Straffekonk tel ikkje,,,,
Mest innslupne mål / verste forsvar,Curaçao,,5p per mål. Straffekonk tel ikkje,,,,
Kva spelar får det første raude kortet i VM?,Okon,,40p rett spelar,,,,
Kva lag får flest raude kort?,Ghana,,10p for kvart kort,,,,
